sim_time_ns,drone_x,drone_y,drone_z,roll,pitch,yaw,detect_result,n_contours,largest_area,largest_aspect,largest_passed,n_candidates,best_area,best_aspect,best_hull_pts,best_poly_pts,four_corner_eps
1780893873446028600,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002806214615702629,0.31069478392601013,-3.140425443649292,no_candidates,5,145.0,1.0285714285714285,False,0,,,,,
1780893873446028600,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002806214615702629,0.31069478392601013,-3.140425443649292,no_candidates,5,145.0,1.0285714285714285,False,0,,,,,
1780893873446028600,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002806214615702629,0.31069478392601013,-3.140425443649292,no_candidates,5,145.0,1.0285714285714285,False,0,,,,,
1780893873446028600,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002806214615702629,0.31069478392601013,-3.140425443649292,no_candidates,5,145.0,1.0285714285714285,False,0,,,,,
1780893873446028600,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002806214615702629,0.31069478392601013,-3.140425443649292,no_candidates,5,145.0,1.0285714285714285,False,0,,,,,
1780893873446028600,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002806214615702629,0.31069478392601013,-3.140425443649292,no_candidates,5,145.0,1.0285714285714285,False,0,,,,,
1780893873446028600,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002806214615702629,0.31069478392601013,-3.140425443649292,no_candidates,5,145.0,1.0285714285714285,False,0,,,,,
1780893873446028600,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002806214615702629,0.31069478392601013,-3.140425443649292,no_candidates,5,145.0,1.0285714285714285,False,0,,,,,
1780893873446028600,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026438877102918923,0.3106938302516937,-3.140498161315918,no_candidates,5,145.0,1.0285714285714285,False,0,,,,,
1780893873446028600,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026438877102918923,0.3106938302516937,-3.140498161315918,no_candidates,5,145.0,1.0285714285714285,False,0,,,,,
1780893873446028600,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026438877102918923,0.3106938302516937,-3.140498161315918,no_candidates,5,145.0,1.0285714285714285,False,0,,,,,
1780893873446028600,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.00026438877102918923,0.3106938302516937,-3.140498161315918,no_candidates,5,145.0,1.0285714285714285,False,0,,,,,
1780893873446028600,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.00026438877102918923,0.3106938302516937,-3.140498161315918,no_candidates,5,145.0,1.0285714285714285,False,0,,,,,
